query,product_id,title,description,category,price,brand,rating,tags,total_views,total_clicks,total_add_to_cart,total_purchases,ctr,atc_rate,purchase_rate,recent_views_7d,recent_purchases_7d,popularity,query_product_views,query_product_clicks,query_product_purchases,query_ctr,query_purchase_rate,tfidf_similarity
3m,23,3M Battery 23,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,16.06,3M,3.9,"trending,popular,classic,new",42,22,10,4,0.5116279069767442,0.23255813953488372,0.09302325581395349,6.0,0.0,0.5753424657534246,7,3,0,0.375,0.0,0.3333333333333333
3m,53,3M Air Freshener 53,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,23.9,3M,4.5,"eco-friendly,popular,classic,modern",49,18,7,1,0.36,0.14,0.02,10.0,1.0,0.6712328767123288,7,1,0,0.125,0.0,0.25
3m,66,3M Tire 66,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,5.54,3M,3.9,"bestseller,new,limited",53,24,7,1,0.4444444444444444,0.12962962962962962,0.018518518518518517,5.0,0.0,0.726027397260274,9,3,0,0.3,0.0,0.3333333333333333
3m,92,3M Brake Pad 92,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,52.94,3M,2.5,"sale,popular",66,29,11,4,0.43283582089552236,0.16417910447761194,0.05970149253731343,11.0,0.0,0.9041095890410958,15,6,1,0.375,0.0625,0.25
3m,168,3M Battery 68,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,32.72,3M,4.7,"premium,sale",61,16,5,0,0.25806451612903225,0.08064516129032258,0.0,9.0,0.0,0.8356164383561644,7,0,0,0.0,0.0,0.3333333333333333
3m,182,3M Tire 82,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,11.14,3M,4.3,"new,classic,sale,eco-friendly",45,15,9,5,0.32608695652173914,0.1956521739130435,0.10869565217391304,4.0,0.0,0.6164383561643836,9,2,1,0.2,0.1,0.3333333333333333
3m,198,3M Tire 98,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,27.36,3M,2.6,"limited,trending",42,20,9,2,0.46511627906976744,0.20930232558139536,0.046511627906976744,4.0,0.0,0.5753424657534246,7,3,0,0.375,0.0,0.3333333333333333
3m,230,3M Air Freshener 30,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,51.26,3M,4.3,"classic,modern,new,premium",49,17,10,4,0.34,0.2,0.08,6.0,0.0,0.6712328767123288,6,2,0,0.2857142857142857,0.0,0.25
3m,231,3M Air Freshener 31,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,57.66,3M,3.5,"limited,bestseller,premium",62,23,8,3,0.36507936507936506,0.12698412698412698,0.047619047619047616,7.0,0.0,0.8493150684931506,11,3,1,0.25,0.08333333333333333,0.25
3m,268,3M Brake Pad 68,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,13.2,3M,4.4,"popular,trending,limited",58,18,7,1,0.3050847457627119,0.11864406779661017,0.01694915254237288,7.0,0.0,0.7945205479452054,6,2,0,0.2857142857142857,0.0,0.25
3m,318,3M Tire 18,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,56.86,3M,4.6,"modern,popular,new,trending",57,24,10,1,0.41379310344827586,0.1724137931034483,0.017241379310344827,7.0,0.0,0.7808219178082192,13,7,0,0.5,0.0,0.3333333333333333
3m,344,3M Battery 44,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,34.4,3M,4.8,"classic,premium,modern",61,30,8,2,0.4838709677419355,0.12903225806451613,0.03225806451612903,7.0,0.0,0.8356164383561644,6,2,0,0.2857142857142857,0.0,0.3333333333333333
3m,353,3M Air Freshener 53,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,19.91,3M,3.4,"sale,modern,bestseller,popular",58,24,6,3,0.4067796610169492,0.1016949152542373,0.05084745762711865,7.0,1.0,0.7945205479452054,10,4,1,0.36363636363636365,0.09090909090909091,0.25
3m,364,3M Oil Filter 64,High-quality oil filter from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,28.38,3M,3.4,"new,premium,classic,trending",57,22,9,6,0.3793103448275862,0.15517241379310345,0.10344827586206896,5.0,0.0,0.7808219178082192,8,5,1,0.5555555555555556,0.1111111111111111,0.25
3m,380,3M Oil Filter 80,High-quality oil filter from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,16.4,3M,3.8,"premium,trending",52,16,6,2,0.3018867924528302,0.11320754716981132,0.03773584905660377,4.0,0.0,0.7123287671232876,13,5,0,0.35714285714285715,0.0,0.25
3m,439,3M Tire 39,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,46.78,3M,4.3,"sale,new,premium,popular",41,16,5,2,0.38095238095238093,0.11904761904761904,0.047619047619047616,2.0,0.0,0.5616438356164384,3,1,1,0.25,0.25,0.3333333333333333
3m,443,3M Tire 43,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,14.93,3M,3.3,"modern,limited,bestseller",52,22,12,3,0.41509433962264153,0.22641509433962265,0.05660377358490566,5.0,1.0,0.7123287671232876,12,3,1,0.23076923076923078,0.07692307692307693,0.3333333333333333
3m,500,3M Battery 0,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,42.84,3M,3.9,"trending,new,limited",46,17,6,3,0.3617021276595745,0.1276595744680851,0.06382978723404255,5.0,1.0,0.6301369863013698,3,0,0,0.0,0.0,0.3333333333333333
3m,515,3M Air Freshener 15,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,4.99,3M,4.0,"classic,modern",45,12,3,2,0.2608695652173913,0.06521739130434782,0.043478260869565216,4.0,0.0,0.6164383561643836,7,3,0,0.375,0.0,0.25
3m,520,3M Battery 20,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,32.25,3M,3.8,"modern,bestseller,eco-friendly,classic",45,20,6,3,0.43478260869565216,0.13043478260869565,0.06521739130434782,3.0,0.0,0.6164383561643836,8,4,0,0.4444444444444444,0.0,0.3333333333333333
3m,534,3M Brake Pad 34,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,10.46,3M,4.6,"trending,limited",51,24,10,1,0.46153846153846156,0.19230769230769232,0.019230769230769232,6.0,0.0,0.6986301369863014,9,5,0,0.5,0.0,0.25
3m,573,3M Air Freshener 73,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,13.99,3M,2.9,"premium,bestseller,eco-friendly",54,29,12,5,0.5272727272727272,0.21818181818181817,0.09090909090909091,6.0,1.0,0.7397260273972602,13,5,2,0.35714285714285715,0.14285714285714285,0.25
3m,650,3M Air Freshener 50,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,23.45,3M,4.8,"modern,popular,new",55,20,9,3,0.35714285714285715,0.16071428571428573,0.05357142857142857,8.0,1.0,0.7534246575342466,8,2,0,0.2222222222222222,0.0,0.25
3m,783,3M Tire 83,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,11.63,3M,2.9,"limited,new,premium",51,21,8,2,0.40384615384615385,0.15384615384615385,0.038461538461538464,7.0,0.0,0.6986301369863014,11,4,1,0.3333333333333333,0.08333333333333333,0.3333333333333333
3m,797,3M Tire 97,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,46.52,3M,4.1,"bestseller,modern,sale,eco-friendly",61,25,11,2,0.4032258064516129,0.1774193548387097,0.03225806451612903,8.0,0.0,0.8356164383561644,15,5,0,0.3125,0.0,0.3333333333333333
3m,799,3M Tire 99,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,8.03,3M,4.6,"eco-friendly,limited,bestseller,trending",42,16,6,0,0.37209302325581395,0.13953488372093023,0.0,6.0,0.0,0.5753424657534246,3,1,0,0.25,0.0,0.3333333333333333
3m,805,3M Oil Filter 5,High-quality oil filter from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,21.68,3M,3.3,"modern,limited",40,16,8,1,0.3902439024390244,0.1951219512195122,0.024390243902439025,3.0,0.0,0.547945205479452,9,3,1,0.3,0.1,0.25
3m,901,3M Brake Pad 1,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,60.22,3M,4.9,"eco-friendly,premium,classic,trending",59,26,8,5,0.43333333333333335,0.13333333333333333,0.08333333333333333,5.0,1.0,0.8082191780821918,9,3,0,0.3,0.0,0.25
3m,905,3M Battery 5,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,9.09,3M,2.1,"premium,classic,new",61,25,9,2,0.4032258064516129,0.14516129032258066,0.03225806451612903,6.0,0.0,0.8356164383561644,9,4,1,0.4,0.1,0.3333333333333333
3m,924,3M Oil Filter 24,High-quality oil filter from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,31.68,3M,3.7,"classic,eco-friendly,trending,popular",62,22,9,3,0.3492063492063492,0.14285714285714285,0.047619047619047616,5.0,0.0,0.8493150684931506,15,7,1,0.4375,0.0625,0.25
3m,942,3M Brake Pad 42,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,16.95,3M,2.9,"sale,bestseller",35,19,9,3,0.5277777777777778,0.25,0.08333333333333333,6.0,1.0,0.4794520547945205,6,4,0,0.5714285714285714,0.0,0.25
3m,980,3M Tire 80,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,24.45,3M,4.5,"classic,bestseller,eco-friendly",46,22,9,2,0.46808510638297873,0.19148936170212766,0.0425531914893617,7.0,0.0,0.6301369863013698,5,3,0,0.5,0.0,0.3333333333333333
3m,990,3M Oil Filter 90,High-quality oil filter from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,81.09,3M,3.4,"popular,limited,classic,sale",52,17,6,0,0.32075471698113206,0.11320754716981132,0.0,5.0,0.0,0.7123287671232876,10,5,0,0.45454545454545453,0.0,0.25
3m automotive,23,3M Battery 23,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,16.06,3M,3.9,"trending,popular,classic,new",42,22,10,4,0.5116279069767442,0.23255813953488372,0.09302325581395349,6.0,0.0,0.5753424657534246,10,6,2,0.5454545454545454,0.18181818181818182,0.25
3m automotive,53,3M Air Freshener 53,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,23.9,3M,4.5,"eco-friendly,popular,classic,modern",49,18,7,1,0.36,0.14,0.02,10.0,1.0,0.6712328767123288,5,2,0,0.3333333333333333,0.0,0.2
3m automotive,66,3M Tire 66,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,5.54,3M,3.9,"bestseller,new,limited",53,24,7,1,0.4444444444444444,0.12962962962962962,0.018518518518518517,5.0,0.0,0.726027397260274,12,6,0,0.46153846153846156,0.0,0.25
3m automotive,92,3M Brake Pad 92,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,52.94,3M,2.5,"sale,popular",66,29,11,4,0.43283582089552236,0.16417910447761194,0.05970149253731343,11.0,0.0,0.9041095890410958,11,3,1,0.25,0.08333333333333333,0.2
3m automotive,168,3M Battery 68,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,32.72,3M,4.7,"premium,sale",61,16,5,0,0.25806451612903225,0.08064516129032258,0.0,9.0,0.0,0.8356164383561644,3,0,0,0.0,0.0,0.25
3m automotive,182,3M Tire 82,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,11.14,3M,4.3,"new,classic,sale,eco-friendly",45,15,9,5,0.32608695652173914,0.1956521739130435,0.10869565217391304,4.0,0.0,0.6164383561643836,9,3,2,0.3,0.2,0.25
3m automotive,198,3M Tire 98,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,27.36,3M,2.6,"limited,trending",42,20,9,2,0.46511627906976744,0.20930232558139536,0.046511627906976744,4.0,0.0,0.5753424657534246,8,2,0,0.2222222222222222,0.0,0.25
3m automotive,230,3M Air Freshener 30,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,51.26,3M,4.3,"classic,modern,new,premium",49,17,10,4,0.34,0.2,0.08,6.0,0.0,0.6712328767123288,7,4,1,0.5,0.125,0.2
3m automotive,231,3M Air Freshener 31,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,57.66,3M,3.5,"limited,bestseller,premium",62,23,8,3,0.36507936507936506,0.12698412698412698,0.047619047619047616,7.0,0.0,0.8493150684931506,18,7,0,0.3684210526315789,0.0,0.2
3m automotive,268,3M Brake Pad 68,High-quality brake pad from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,13.2,3M,4.4,"popular,trending,limited",58,18,7,1,0.3050847457627119,0.11864406779661017,0.01694915254237288,7.0,0.0,0.7945205479452054,7,3,0,0.375,0.0,0.2
3m automotive,318,3M Tire 18,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,56.86,3M,4.6,"modern,popular,new,trending",57,24,10,1,0.41379310344827586,0.1724137931034483,0.017241379310344827,7.0,0.0,0.7808219178082192,10,4,0,0.36363636363636365,0.0,0.25
3m automotive,344,3M Battery 44,High-quality battery from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,34.4,3M,4.8,"classic,premium,modern",61,30,8,2,0.4838709677419355,0.12903225806451613,0.03225806451612903,7.0,0.0,0.8356164383561644,8,2,0,0.2222222222222222,0.0,0.25
3m automotive,353,3M Air Freshener 53,High-quality air freshener from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,19.91,3M,3.4,"sale,modern,bestseller,popular",58,24,6,3,0.4067796610169492,0.1016949152542373,0.05084745762711865,7.0,1.0,0.7945205479452054,10,3,0,0.2727272727272727,0.0,0.2
3m automotive,364,3M Oil Filter 64,High-quality oil filter from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,28.38,3M,3.4,"new,premium,classic,trending",57,22,9,6,0.3793103448275862,0.15517241379310345,0.10344827586206896,5.0,0.0,0.7808219178082192,8,3,2,0.3333333333333333,0.2222222222222222,0.2
3m automotive,380,3M Oil Filter 80,High-quality oil filter from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,16.4,3M,3.8,"premium,trending",52,16,6,2,0.3018867924528302,0.11320754716981132,0.03773584905660377,4.0,0.0,0.7123287671232876,6,0,0,0.0,0.0,0.2
3m automotive,439,3M Tire 39,High-quality tire from 3M. Perfect for everyday use. Features premium materials and excellent craftsmanship.,automotive,46.78,3M,4.3,"sale,new,premium,popular",41,16,5,2,0.38095238095238093,0.11904761904761904,0.047619047619047616,2.0,0.0,0.5616438356164384,10,4,0,0.36363636363636365,0.0,0.25
